face_amount,company,plan_name,tier_name,monthly,yearly,state,gender,age,term_years,tobacco
25000,Transamerica (Trendsetter Super 2021),Trendsetter Super 2021 10-Year Standard,Trendsetter Super 2021,28.45,334.75,IL,Male,60,10,None
25000,Transamerica (Trendsetter LB 2017),Trendsetter LB 2017 10-Year Standard,Trendsetter LB 2017,30.49,354.50,IL,Male,60,10,None
25000,American Amicable (Easy Term),Easy Term 10-Year,Approved,31.30,333.00,IL,Male,60,10,None
25000,Mutual of Omaha (Term Life Express),Term Life Express 10-Year,Approved,35.24,396.00,IL,Male,60,10,None
50000,American Amicable (Term Made Simple),Term Made Simple Preferred 10-Year,Preferred,47.52,528.00,IL,Male,60,10,None
50000,Foresters (Your Term),Your Term 10-Year Non-Med,Approved,48.96,559.50,IL,Male,60,10,None
50000,Transamerica (Trendsetter Super 2021),Trendsetter Super 2021 10-Year Standard,Trendsetter Super 2021,51.81,609.50,IL,Male,60,10,None
50000,American Amicable (Term Made Simple),Term Made Simple Standard 10-Year,Standard,52.16,579.50,IL,Male,60,10,None
50000,Transamerica (Trendsetter LB 2017),Trendsetter LB 2017 10-Year Standard,Trendsetter LB 2017,55.81,649.00,IL,Male,60,10,None
50000,American Amicable (Easy Term),Easy Term 10-Year,Approved,56.96,606.00,IL,Male,60,10,None
50000,Foresters (Strong Foundation),Strong Foundation 10-Year,Approved,64.01,731.50,IL,Male,60,10,None
50000,Kansas City Life,Signature Term Express 10-Year,Approved,65.11,762.50,IL,Male,60,10,None
50000,Mutual of Omaha (Term Life Express),Term Life Express 10-Year,Approved,65.15,732.00,IL,Male,60,10,None
75000,American Amicable (Term Made Simple),Term Made Simple Preferred 10-Year,Preferred,68.13,757.00,IL,Male,60,10,None
75000,Foresters (Your Term),Your Term 10-Year Non-Med,Approved,70.37,804.25,IL,Male,60,10,None
75000,American Amicable (Easy Term),Easy Term 10-Year,Approved,72.26,768.75,IL,Male,60,10,None
75000,American Amicable (Term Made Simple),Term Made Simple Standard 10-Year,Standard,75.08,834.25,IL,Male,60,10,None
75000,Transamerica (Trendsetter Super 2021),Trendsetter Super 2021 10-Year Standard,Trendsetter Super 2021,75.16,884.25,IL,Male,60,10,None
75000,Transamerica (Trendsetter LB 2017),Trendsetter LB 2017 10-Year Standard,Trendsetter LB 2017,81.14,943.50,IL,Male,60,10,None
75000,Foresters (Strong Foundation),Strong Foundation 10-Year,Approved,93.38,"1,067.25",IL,Male,60,10,None
75000,Kansas City Life,Signature Term Express 10-Year,Approved,94.97,"1,113.75",IL,Male,60,10,None
75000,Mutual of Omaha (Term Life Express),Term Life Express 10-Year,Approved,95.05,"1,068.00",IL,Male,60,10,None
100000,Transamerica (Trendsetter Super 2021),Trendsetter Super 2021 10-Year Preferred Plus,Trendsetter Super 2021,37.23,438.00,IL,Male,60,10,None
100000,Transamerica (Trendsetter Super 2021),Trendsetter Super 2021 10-Year Preferred,Trendsetter Super 2021,44.80,527.00,IL,Male,60,10,None
100000,Transamerica (Trendsetter LB 2017),Trendsetter LB 2017 10-Year Preferred,Trendsetter LB 2017,51.17,595.00,IL,Male,60,10,None
100000,Transamerica (Trendsetter Super 2021),Trendsetter Super 2021 10-Year Standard Plus,Trendsetter Super 2021,56.61,666.00,IL,Male,60,10,None
100000,Transamerica (Trendsetter Super 2021),Trendsetter Super 2021 10-Year Standard,Trendsetter Super 2021,56.78,668.00,IL,Male,60,10,None
100000,Transamerica (Trendsetter LB 2017),Trendsetter LB 2017 10-Year Standard,Trendsetter LB 2017,82.56,960.00,IL,Male,60,10,None
100000,American Amicable (Term Made Simple),Term Made Simple Preferred 10-Year,Preferred,88.74,986.00,IL,Male,60,10,None
100000,Foresters (Your Term),Your Term 10-Year Non-Med,Approved,91.79,"1,049.00",IL,Male,60,10,None
100000,American Amicable (Easy Term),Easy Term 10-Year,Approved,94.47,"1,005.00",IL,Male,60,10,None
100000,American Amicable (Term Made Simple),Term Made Simple Standard 10-Year,Standard,98.01,"1,089.00",IL,Male,60,10,None
100000,Foresters (Strong Foundation),Strong Foundation 10-Year,Approved,122.76,"1,403.00",IL,Male,60,10,None
100000,Kansas City Life,Signature Term Express 10-Year,Approved,124.83,"1,465.00",IL,Male,60,10,None
100000,Mutual of Omaha (Term Life Express),Term Life Express 10-Year,Approved,124.96,"1,404.00",IL,Male,60,10,None
150000,Transamerica (Trendsetter Super 2021),Trendsetter Super 2021 10-Year Preferred Plus,Trendsetter Super 2021,54.57,642.00,IL,Male,60,10,None
