face_amount,company,plan_name,tier_name,monthly,yearly,state,gender,age,term_years,tobacco
150000,Transamerica (Trendsetter Super 2021),Trendsetter Super 2021 10-Year Preferred,Trendsetter Super 2021,65.92,775.50,IL,Male,60,10,None
150000,Transamerica (Trendsetter LB 2017),Trendsetter LB 2017 10-Year Preferred,Trendsetter LB 2017,75.47,877.50,IL,Male,60,10,None
150000,Transamerica (Trendsetter Super 2021),Trendsetter Super 2021 10-Year Standard Plus,Trendsetter Super 2021,83.64,984.00,IL,Male,60,10,None
150000,Transamerica (Trendsetter Super 2021),Trendsetter Super 2021 10-Year Standard,Trendsetter Super 2021,83.90,987.00,IL,Male,60,10,None
150000,Transamerica (Trendsetter LB 2017),Trendsetter LB 2017 10-Year Standard,Trendsetter LB 2017,122.55,"1,425.00",IL,Male,60,10,None
150000,American Amicable (Term Made Simple),Term Made Simple Preferred 10-Year,Preferred,129.96,"1,444.00",IL,Male,60,10,None
150000,Foresters (Your Term),Your Term 10-Year Non-Med,Approved,134.62,"1,538.50",IL,Male,60,10,None
150000,American Amicable (Easy Term),Easy Term 10-Year,Approved,138.89,"1,477.50",IL,Male,60,10,None
150000,American Amicable (Term Made Simple),Term Made Simple Standard 10-Year,Standard,143.87,"1,598.50",IL,Male,60,10,None
150000,Foresters (Strong Foundation),Strong Foundation 10-Year,Approved,181.52,"2,074.50",IL,Male,60,10,None
150000,Kansas City Life,Signature Term Express 10-Year,Approved,184.54,"2,167.50",IL,Male,60,10,None
150000,Mutual of Omaha (Term Life Express),Term Life Express 10-Year,Approved,184.76,"2,076.00",IL,Male,60,10,None
200000,Transamerica (Trendsetter Super 2021),Trendsetter Super 2021 10-Year Preferred Plus,Trendsetter Super 2021,71.91,846.00,IL,Male,60,10,None
200000,Transamerica (Trendsetter Super 2021),Trendsetter Super 2021 10-Year Preferred,Trendsetter Super 2021,87.04,"1,024.00",IL,Male,60,10,None
200000,Transamerica (Trendsetter LB 2017),Trendsetter LB 2017 10-Year Preferred,Trendsetter LB 2017,99.76,"1,160.00",IL,Male,60,10,None
200000,Transamerica (Trendsetter Super 2021),Trendsetter Super 2021 10-Year Standard Plus,Trendsetter Super 2021,110.67,"1,302.00",IL,Male,60,10,None
200000,Transamerica (Trendsetter Super 2021),Trendsetter Super 2021 10-Year Standard,Trendsetter Super 2021,111.01,"1,306.00",IL,Male,60,10,None
200000,Transamerica (Trendsetter LB 2017),Trendsetter LB 2017 10-Year Standard,Trendsetter LB 2017,162.54,"1,890.00",IL,Male,60,10,None
200000,American Amicable (Term Made Simple),Term Made Simple Preferred 10-Year,Preferred,171.18,"1,902.00",IL,Male,60,10,None
200000,American Amicable (Easy Term),Easy Term 10-Year,Approved,183.30,"1,950.00",IL,Male,60,10,None
200000,American Amicable (Term Made Simple),Term Made Simple Standard 10-Year,Standard,189.72,"2,108.00",IL,Male,60,10,None
200000,Foresters (Strong Foundation),Strong Foundation 10-Year,Approved,240.28,"2,746.00",IL,Male,60,10,None
200000,Kansas City Life,Signature Term Express 10-Year,Approved,244.25,"2,870.00",IL,Male,60,10,None
200000,Mutual of Omaha (Term Life Express),Term Life Express 10-Year,Approved,244.57,"2,748.00",IL,Male,60,10,None
500000,Transamerica (Trendsetter Super 2021),Trendsetter Super 2021 10-Year Preferred Plus,Trendsetter Super 2021,108.80,"1,280.00",IL,Male,60,10,None
500000,Transamerica (Trendsetter Super 2021),Trendsetter Super 2021 10-Year Preferred,Trendsetter Super 2021,127.50,"1,500.00",IL,Male,60,10,None
500000,Transamerica (Trendsetter LB 2017),Trendsetter LB 2017 10-Year Preferred Plus,Trendsetter LB 2017,159.53,"1,855.00",IL,Male,60,10,None
500000,Transamerica (Trendsetter Super 2021),Trendsetter Super 2021 10-Year Standard Plus,Trendsetter Super 2021,168.73,"1,985.00",IL,Male,60,10,None
500000,Transamerica (Trendsetter LB 2017),Trendsetter LB 2017 10-Year Preferred,Trendsetter LB 2017,184.04,"2,140.00",IL,Male,60,10,None
500000,Transamerica (Trendsetter Super 2021),Trendsetter Super 2021 10-Year Standard,Trendsetter Super 2021,191.68,"2,255.00",IL,Male,60,10,None
500000,Transamerica (Trendsetter LB 2017),Trendsetter LB 2017 10-Year Standard Plus,Trendsetter LB 2017,219.73,"2,555.00",IL,Male,60,10,None
500000,Transamerica (Trendsetter LB 2017),Trendsetter LB 2017 10-Year Standard,Trendsetter LB 2017,268.75,"3,125.00",IL,Male,60,10,None
500000,American Amicable (Term Made Simple),Term Made Simple Preferred 10-Year,Preferred,411.75,"4,575.00",IL,Male,60,10,None
500000,American Amicable (Term Made Simple),Term Made Simple Standard 10-Year,Standard,456.75,"5,075.00",IL,Male,60,10,None
1000000,Transamerica (Trendsetter Super 2021),Trendsetter Super 2021 10-Year Preferred Plus,Trendsetter Super 2021,218.45,"2,570.00",IL,Male,60,10,None
1000000,Transamerica (Trendsetter Super 2021),Trendsetter Super 2021 10-Year Preferred,Trendsetter Super 2021,245.65,"2,890.00",IL,Male,60,10,None
1000000,Transamerica (Trendsetter LB 2017),Trendsetter LB 2017 10-Year Preferred Plus,Trendsetter LB 2017,316.48,"3,680.00",IL,Male,60,10,None
1000000,Transamerica (Trendsetter Super 2021),Trendsetter Super 2021 10-Year Standard Plus,Trendsetter Super 2021,324.70,"3,820.00",IL,Male,60,10,None
1000000,Transamerica (Trendsetter LB 2017),Trendsetter LB 2017 10-Year Preferred,Trendsetter LB 2017,365.50,"4,250.00",IL,Male,60,10,None
1000000,Transamerica (Trendsetter Super 2021),Trendsetter Super 2021 10-Year Standard,Trendsetter Super 2021,374.85,"4,410.00",IL,Male,60,10,None
1000000,Transamerica (Trendsetter LB 2017),Trendsetter LB 2017 10-Year Standard Plus,Trendsetter LB 2017,436.88,"5,080.00",IL,Male,60,10,None
1000000,Transamerica (Trendsetter LB 2017),Trendsetter LB 2017 10-Year Standard,Trendsetter LB 2017,534.92,"6,220.00",IL,Male,60,10,None
